Ticker,Date,Pos,Neu,Neg,Normalized,Close,Returns,12-day Rolling,5-day Rolling,3-day Rolling,12-day Rolling Std,5-day Rolling Std,3-day Rolling Std,difference 1-day,difference 3-days,direction 1-day,direction 3-days
AWK,2019-10-23,0.105,0.883,0.011,1,121.94,-0.0036767709780211044,-0.001751894801764603,0.0005147854165004961,-0.0012798316777093977,0.007334908634345913,0.0037328201658995796,0.0022308962618652144,-0.45000000000000284,-0.46999999999999886,0,0
AXP,2019-10-18,0.114,0.877,0.01,1,116.76,-0.019647355163727842,0.0028938247830848176,0.0006880319587809991,-0.002261364552163007,0.011318071562121524,0.013223927286217567,0.017032436360115595,-2.339999999999989,-0.8299999999999983,0,0
AZO,2019-09-24,0.134,0.844,0.022,1,1096.63,-0.044131234419399146,-0.0032865731984367172,-0.010328083759532602,-0.01773729786368076,0.01991118627361297,0.019835068616176014,0.02360823843581619,-50.62999999999988,-61.159999999999854,0,0
BA,2019-10-23,0.104,0.878,0.017,1,340.5,0.010385756676557945,-0.008086878153920183,-0.017247814771750615,-0.0030960518170831675,0.023540455442614537,0.03553144350309507,0.030133206876622156,3.5,-3.5,1,0
BAC,2019-10-16,0.131,0.846,0.023,1,30.17,0.014799865455768613,0.002955161623078434,0.015850054306416905,0.01433422438842861,0.01758112667998253,0.0050185088447096075,0.006158895039250693,0.4400000000000013,1.2600000000000016,1,1
BAX,2019-10-24,0.128,0.858,0.014,1,79.08,-0.10085275724843668,-0.005518709866979055,-0.019903502287160958,-0.035446334578912185,0.03172136188173386,0.04632448134286762,0.058160893912627104,-8.870000000000005,-9.370000000000005,0,0
BBY,2019-08-29,0.153,0.826,0.02,1,63.49,-0.0798550724637681,-0.008965197988576487,-0.01516790184379615,-0.019981046966062437,0.036972140007546304,0.04308635734622621,0.05238389938715173,-5.509999999999998,-4.160000000000004,0,0
BDX,2019-11-05,0.113,0.873,0.014,1,246.68,-0.0537782892213271,-0.0037012341355822653,-0.005747791966353444,-0.011833957934033005,0.02177021577073891,0.027102574043586937,0.03633238851671417,-14.019999999999982,-9.319999999999993,0,0
BIIB,2019-10-22,0.102,0.878,0.02,1,281.87,0.2611068855979599,0.021652434512480122,0.050052239034112246,0.08407589683224044,0.07649281232444254,0.11899587132029524,0.1546275462801653,58.360000000000014,56.27000000000001,1,1
BKNG,2019-11-07,0.117,0.867,0.016,1,1849.9301,-0.08059276672514648,-0.0071487305089051045,-0.019698367608484556,-0.026112673868334973,0.0240480438675024,0.03495322908425574,0.047807548103563996,-162.15989999999988,-157.75,0,0
BLK,2019-10-15,0.143,0.831,0.026,1,444.45,0.023583058888556163,-0.0001293223779439782,0.014773315099079577,0.018822062556554237,0.02007945665247478,0.012925238441990906,0.01648177001120738,10.240000000000009,24.069999999999993,1,1
BLL,2019-10-31,0.109,0.877,0.013,1,69.97,-0.053948080043266566,-0.0023504592883447826,-0.004789244487913224,-0.0058505603270799416,0.02142442051805461,0.029695501660724023,0.041678086099632965,-3.989999999999995,-1.3700000000000045,0,0
BMY,2019-10-31,0.09,0.888,0.022,1,57.37,0.008791981712678032,0.008538640189022617,0.01081364122526689,0.010584613344693109,0.009377897524371417,0.005939559210362152,0.008387857404380286,0.5,1.779999999999994,1,1
BR,2019-11-06,0.16,0.825,0.015,1,116.84,-0.053160453808752006,-0.0045503947802680855,-0.012946386386835452,-0.024108956182216684,0.01842044658633136,0.02431442138634203,0.026726115037151207,-6.560000000000002,-8.969999999999999,0,0
BSX,2019-10-23,0.137,0.843,0.02,1,40.09,0.05002619172341549,-0.00022418142908157504,0.010028481463849803,0.014181582882666577,0.026925604388115622,0.023382158243395297,0.036227291826779716,1.9100000000000037,1.6200000000000045,1,1
BWA,2019-10-31,0.098,0.886,0.016,1,41.68,0.06245220494519499,0.008548243284912299,0.012220727319058922,0.011015004054527674,0.022999651653068175,0.03153108936098182,0.04766480142028172,2.450000000000003,1.2700000000000031,1,1
BXP,2019-10-30,0.116,0.865,0.02,1,138.93,0.0422355588897223,0.007203043299778139,0.011989055505938007,0.016897058962749845,0.014137885880423936,0.017125630457156003,0.027561318049154144,5.6299999999999955,6.75,1,1
C,2019-10-15,0.123,0.862,0.015,1,71.22,0.01395216400911159,0.0022268107875689134,0.014135469375048481,0.012505789057362882,0.01868193746979826,0.006564522816258694,0.01937066296490312,0.980000000000004,2.5999999999999943,1,1
CAG,2019-09-26,0.11,0.874,0.017,1,31.0,0.03678929765886285,0.0044375663218935895,0.009131869122194814,0.023709565980233216,0.019556474192103563,0.025016579805736475,0.020936343584143282,1.1000000000000014,2.1000000000000014,1,1
CAH,2019-11-07,0.126,0.861,0.013,1,53.2,0.034415710674703615,0.004093132585001334,0.014842265757226802,0.00947263671349389,0.018806034989636282,0.0167848993179463,0.027335045484340584,1.7700000000000031,1.4600000000000009,1,1
CAT,2019-10-23,0.102,0.859,0.039,1,135.34,0.012341985189617821,0.01004008505230016,0.007831002682213284,0.011670716448786145,0.0175880892567054,0.010215286864956362,0.0006513214733366227,1.6500000000000057,4.6299999999999955,1,1
CBOE,2019-10-31,0.126,0.86,0.014,1,115.15,-0.012774348422496473,0.00013788077972899196,-0.0008487519963933376,0.005765880083491881,0.011979225652863877,0.01616515996092746,0.018686821881442266,-1.4899999999999949,1.9300000000000068,0,1
CBS,2019-11-12,0.1,0.893,0.006,1,37.76,-0.036242981112812656,0.004066532039320614,0.0017558470523891367,1.1565889082835549e-05,0.01942830582012022,0.028202351780072944,0.03293256171533648,-1.4200000000000017,-0.03999999999999915,0,0
CDNS,2019-10-21,0.134,0.856,0.01,1,66.75,0.017530487804878092,0.002193675869141043,0.0008121461284657406,-0.00024265924946272518,0.015147999050800484,0.015152008048885031,0.015694904915423972,1.1500000000000057,-0.06499999999999773,1,0
CDW,2019-10-31,0.135,0.853,0.012,1,127.91,0.004160778772177798,0.003041279173911754,0.0055047382111158335,0.00505968624224525,0.0063274209624406405,0.0035804547405639733,0.004076112880566514,0.5300000000000011,1.9200000000000017,1,1
CE,2019-10-22,0.099,0.883,0.019,1,119.3,-0.016569120435248608,-8.791578296500162e-05,-0.004509187015560334,-0.0073019468554939015,0.012631321413984061,0.007389345282956004,0.008026605232286026,-2.010000000000005,-2.6599999999999966,0,0
CERN,2019-10-24,0.127,0.863,0.011,1,67.48,-0.0013319520497260262,0.0030215367535894413,-0.001841721800392815,-0.0033243503088799717,0.005672951176584046,0.00613892195409851,0.01259836340447241,-0.0899999999999892,-0.6799999999999926,0,0
CF,2019-10-31,0.089,0.888,0.023,1,45.35,-0.035926870748299256,-0.005590648047143394,-0.00031818984130922435,-0.0032024191292695514,0.015864711468975314,0.022806809368533475,0.03187649582802279,-1.6899999999999977,-0.4799999999999969,0,0
CFG,2019-10-18,0.133,0.846,0.021,1,35.32,0.008854612967723607,0.0045452277145820175,0.004849471433163566,0.0019078224993397397,0.015844022466841377,0.007754191201357379,0.012715635536179729,0.3100000000000023,0.20000000000000284,1,1
CHD,2019-10-31,0.117,0.865,0.018,1,69.94,-0.07253679883304598,-0.0030553873491958963,-0.015320010954653606,-0.02045819123378519,0.02376331715644526,0.035232049907827134,0.04991664135721089,-5.469999999999999,-4.659999999999997,0,0
CHRW,2019-10-30,0.109,0.876,0.015,1,77.08,-0.14847547503314185,-0.007372553000547076,-0.026298046984125346,-0.04797687227902007,0.09501725005255537,0.0,0.0,-13.439999999999998,-13.030000000000001,0,0
CHTR,2019-10-25,0.106,0.873,0.021,1,0.0,,,,,,,,0.0,0.0,0,0
CI,2019-10-31,0.121,0.867,0.012,1,178.46,0.011448651099523977,0.009122622831718996,0.009680393403272203,0.007015488200651121,0.01200387349663084,0.011253641589376447,0.013988720224503976,2.0200000000000102,3.670000000000016,1,1
CINF,2019-10-25,0.102,0.857,0.041,1,111.65,-0.031404528498308215,-0.002259720296949236,-0.006990312329620685,-0.004931242411293575,0.012954052677305766,0.01892979549426094,0.0231473838361515,-3.6199999999999903,-1.7299999999999898,0,0
